trait_id	trait_name	source_study	source_file	frequency_column	reported_column_name	effect_allele_column	other_allele_column	ref_allele_column	alt_allele_column	frequency_represents	evidence_source	evidence_type	confidence	transformation_required	transformation_rule	notes
ret_rnfl_left	RNFL thickness, left eye	Zhao et al. 2024	data/raw/retinal/ret_rnfl_left__ret_rnfl_left.zip.complete	AF1	AF1	A1	A2	NA	NA	EFFECT_ALLELE	GCTA fastGWA official output documentation: A1 is effect allele and AF1 is frequency of A1; https://yanglab.westlake.edu.cn/software/gcta/#fastGWA	OFFICIAL_DOCUMENTATION	HIGH	NO	standardized_EAF=AF1	Raw archive header independently confirms CHR SNP POS A1 A2 N AF1 BETA SE P.
ret_gcipl_left	GCIPL thickness, left eye	Zhao et al. 2024	data/raw/retinal/ret_gcipl_left__ret_gcipl_left.zip.complete	AF1	AF1	A1	A2	NA	NA	EFFECT_ALLELE	GCTA fastGWA official output documentation: A1 is effect allele and AF1 is frequency of A1; https://yanglab.westlake.edu.cn/software/gcta/#fastGWA	OFFICIAL_DOCUMENTATION	HIGH	NO	standardized_EAF=AF1	Raw archive header independently confirms CHR SNP POS A1 A2 N AF1 BETA SE P.
ret_inl_left	INL thickness, left eye	Zhao et al. 2024	data/raw/retinal/ret_inl_left__ret_inl_left.zip.complete	AF1	AF1	A1	A2	NA	NA	EFFECT_ALLELE	GCTA fastGWA official output documentation: A1 is effect allele and AF1 is frequency of A1; https://yanglab.westlake.edu.cn/software/gcta/#fastGWA	OFFICIAL_DOCUMENTATION	HIGH	NO	standardized_EAF=AF1	Raw archive header independently confirms CHR SNP POS A1 A2 N AF1 BETA SE P.
ret_inl_elm_left	INL-to-ELM thickness, left eye	Zhao et al. 2024	data/raw/retinal/ret_inl_elm_left__ret_inl_elm_left.zip.complete	AF1	AF1	A1	A2	NA	NA	EFFECT_ALLELE	GCTA fastGWA official output documentation: A1 is effect allele and AF1 is frequency of A1; https://yanglab.westlake.edu.cn/software/gcta/#fastGWA	OFFICIAL_DOCUMENTATION	HIGH	NO	standardized_EAF=AF1	Raw archive header independently confirms CHR SNP POS A1 A2 N AF1 BETA SE P.
ret_elm_isos_left	ELM-to-IS/OS thickness, left eye	Zhao et al. 2024	data/raw/retinal/ret_elm_isos_left__ret_elm_isos_left.zip.complete	AF1	AF1	A1	A2	NA	NA	EFFECT_ALLELE	GCTA fastGWA official output documentation: A1 is effect allele and AF1 is frequency of A1; https://yanglab.westlake.edu.cn/software/gcta/#fastGWA	OFFICIAL_DOCUMENTATION	HIGH	NO	standardized_EAF=AF1	Raw archive header independently confirms CHR SNP POS A1 A2 N AF1 BETA SE P.
ret_isos_rpe_left	IS/OS-to-RPE thickness, left eye	Zhao et al. 2024	data/raw/retinal/ret_isos_rpe_left__ret_isos_rpe_left.zip.complete	AF1	AF1	A1	A2	NA	NA	EFFECT_ALLELE	GCTA fastGWA official output documentation: A1 is effect allele and AF1 is frequency of A1; https://yanglab.westlake.edu.cn/software/gcta/#fastGWA	OFFICIAL_DOCUMENTATION	HIGH	NO	standardized_EAF=AF1	Raw archive header independently confirms CHR SNP POS A1 A2 N AF1 BETA SE P.
ret_macular_total_left	Overall macular thickness, left eye	Zhao et al. 2024	data/raw/retinal/ret_macular_total_left__ret_macular_total_left.zip.complete	AF1	AF1	A1	A2	NA	NA	EFFECT_ALLELE	GCTA fastGWA official output documentation: A1 is effect allele and AF1 is frequency of A1; https://yanglab.westlake.edu.cn/software/gcta/#fastGWA	OFFICIAL_DOCUMENTATION	HIGH	NO	standardized_EAF=AF1	Raw archive header independently confirms CHR SNP POS A1 A2 N AF1 BETA SE P.
ret_art_tort	Retinal arteriolar tortuosity	Ortín Vela et al. 2024	data/raw/retinal/ret_art_tort__GCST90446760.tsv.gz.complete	effect_allele_frequency	effect_allele_frequency	effect_allele	other_allele	NA	NA	UNKNOWN	GWAS-SSF v1.0 specification labels the field as effect-allele frequency, but 83/84 informative clumped leads are closer to the labelled other allele in the frozen 1KG-EUR diagnostic	UNRESOLVED	UNKNOWN	UNRESOLVED	STOP_GWAS_SEMANTIC_CONFLICT	SEMANTIC_CONFLICT; author Zenodo code archive 13347953 contains phenotype extraction only and cannot resolve GWAS export semantics.
ret_ven_tort	Retinal venular tortuosity	Ortín Vela et al. 2024	data/raw/retinal/ret_ven_tort__GCST90446761.tsv.gz.complete	effect_allele_frequency	effect_allele_frequency	effect_allele	other_allele	NA	NA	UNKNOWN	GWAS-SSF v1.0 specification labels the field as effect-allele frequency, but 41/43 informative clumped leads are closer to the labelled other allele in the frozen 1KG-EUR diagnostic	UNRESOLVED	UNKNOWN	UNRESOLVED	STOP_GWAS_SEMANTIC_CONFLICT	SEMANTIC_CONFLICT; author Zenodo code archive 13347953 contains phenotype extraction only and cannot resolve GWAS export semantics.
ret_crae	Central retinal arteriolar equivalent	Ortín Vela et al. 2024	data/raw/retinal/ret_crae__GCST90446763.tsv.gz.complete	effect_allele_frequency	effect_allele_frequency	effect_allele	other_allele	NA	NA	UNKNOWN	GWAS-SSF v1.0 specification labels the field as effect-allele frequency, but all 6 frozen CRAE leads are closer to the labelled other allele in the frozen 1KG-EUR diagnostic	UNRESOLVED	UNKNOWN	UNRESOLVED	STOP_GWAS_SEMANTIC_CONFLICT	SEMANTIC_CONFLICT; CRAE MR is blocked. See results/amendment003/CRAE_FREQUENCY_SEMANTICS_AUDIT.tsv.
ret_crve	Central retinal venular equivalent	Ortín Vela et al. 2024	data/raw/retinal/ret_crve__GCST90446764.tsv.gz.complete	effect_allele_frequency	effect_allele_frequency	effect_allele	other_allele	NA	NA	UNKNOWN	GWAS-SSF v1.0 specification labels the field as effect-allele frequency, but 25/26 informative clumped leads are closer to the labelled other allele in the frozen 1KG-EUR diagnostic	UNRESOLVED	UNKNOWN	UNRESOLVED	STOP_GWAS_SEMANTIC_CONFLICT	SEMANTIC_CONFLICT; author Zenodo code archive 13347953 contains phenotype extraction only and cannot resolve GWAS export semantics.
ret_avr	Artery-to-vein central retinal equivalent ratio	Ortín Vela et al. 2024	data/raw/retinal/ret_avr__GCST90446765.tsv.gz.complete	effect_allele_frequency	effect_allele_frequency	effect_allele	other_allele	NA	NA	UNKNOWN	GWAS-SSF v1.0 specification labels the field as effect-allele frequency, but 6/7 informative clumped leads are closer to the labelled other allele in the frozen 1KG-EUR diagnostic	UNRESOLVED	UNKNOWN	UNRESOLVED	STOP_GWAS_SEMANTIC_CONFLICT	SEMANTIC_CONFLICT; author Zenodo code archive 13347953 contains phenotype extraction only and cannot resolve GWAS export semantics.
ret_art_density	Retinal arterial vascular density	Ortín Vela et al. 2024	data/raw/retinal/ret_art_density__GCST90446768.tsv.gz.complete	effect_allele_frequency	effect_allele_frequency	effect_allele	other_allele	NA	NA	UNKNOWN	GWAS-SSF v1.0 specification labels the field as effect-allele frequency, but all 12 informative clumped leads are closer to the labelled other allele in the frozen 1KG-EUR diagnostic	UNRESOLVED	UNKNOWN	UNRESOLVED	STOP_GWAS_SEMANTIC_CONFLICT	SEMANTIC_CONFLICT; author Zenodo code archive 13347953 contains phenotype extraction only and cannot resolve GWAS export semantics.
ret_ven_density	Retinal venular vascular density	Ortín Vela et al. 2024	data/raw/retinal/ret_ven_density__GCST90446769.tsv.gz.complete	effect_allele_frequency	effect_allele_frequency	effect_allele	other_allele	NA	NA	UNKNOWN	GWAS-SSF v1.0 specification labels the field as effect-allele frequency, but all 16 informative clumped leads are closer to the labelled other allele in the frozen 1KG-EUR diagnostic	UNRESOLVED	UNKNOWN	UNRESOLVED	STOP_GWAS_SEMANTIC_CONFLICT	SEMANTIC_CONFLICT; author Zenodo code archive 13347953 contains phenotype extraction only and cannot resolve GWAS export semantics.
sys_cad_nikpay2015	Coronary artery disease	Nikpay et al. 2015	data/raw/systemic/sys_cad_nikpay2015__cad.add.160614.website.txt.complete	effect_allele_freq	effect_allele_freq	effect_allele	noneffect_allele	NA	NA	EFFECT_ALLELE	Original release header explicitly couples effect_allele_freq to effect_allele; 41/41 informative leads support this mapping in the frozen 1KG-EUR diagnostic	SOURCE_HEADER	HIGH	NO	standardized_EAF=effect_allele_freq	No semantic conflict detected.
sys_stroke_megastroke2018	Any ischemic stroke	Malik et al. 2018	data/raw/systemic/sys_stroke_megastroke2018__MEGASTROKE.2.AIS.EUR.out.complete	Freq1	Freq1	Allele1	Allele2	NA	NA	EFFECT_ALLELE	Original release header maps Effect and Freq1 to Allele1; 10/10 informative leads support this mapping in the frozen 1KG-EUR diagnostic	SOURCE_HEADER	MODERATE	NO	standardized_EAF=Freq1	Allele1 is the effect allele for Effect.
sys_t2d_scott2017	Type 2 diabetes	Scott et al. 2017	data/raw/systemic/sys_t2d_scott2017__METAANALYSIS_DIAGRAM_SE1.txt.complete	NA	NA	Allele1	Allele2	NA	NA	UNKNOWN	Original release contains no allele-frequency field	SOURCE_HEADER	HIGH	NO	NOT_APPLICABLE; reference frequency may be used only with explicit REF/ALT allele identity	NO_SOURCE_FREQUENCY_FIELD; UNKNOWN does not itself block because no source frequency is used.
sys_ckd_wuttke2019	Chronic kidney disease	Wuttke et al. 2019	data/raw/systemic/sys_ckd_wuttke2019__CKD_overall_EA_JW_20180223_nstud23.dbgap.txt.gz.complete	Freq1	Freq1	Allele1	Allele2	NA	NA	EFFECT_ALLELE	Original release header maps Effect and Freq1 to Allele1; 22/23 informative leads support this mapping and one near-0.5 lead is discordant in the frozen 1KG-EUR diagnostic	SOURCE_HEADER	MODERATE	NO	standardized_EAF=Freq1	No systematic semantic conflict detected; single discordant near-0.5 observation retained as diagnostic note.
sys_ad_kunkle2019	Alzheimer disease	Kunkle et al. 2019	data/raw/systemic/sys_ad_kunkle2019__Kunkle_etal_Stage1_results.txt.complete	NA	NA	Effect_allele	Non_Effect_allele	NA	NA	UNKNOWN	Original release contains no allele-frequency field	SOURCE_HEADER	HIGH	NO	NOT_APPLICABLE; reference frequency may be used only with explicit REF/ALT allele identity	NO_SOURCE_FREQUENCY_FIELD; UNKNOWN does not itself block because no source frequency is used.
sys_pd_nalls2019_clinical	Parkinson disease	Nalls et al. 2019	data/raw/systemic/sys_pd_nalls2019_clinical__GCST009324.tsv.gz.complete	effect_allele_frequency	effect_allele_frequency	effect_allele	other_allele	NA	NA	EFFECT_ALLELE	GWAS-SSF v1.0 official specification defines effect_allele_frequency as frequency of effect_allele; https://github.com/EBISPOT/gwas-summary-statistics-standard	OFFICIAL_DOCUMENTATION	HIGH	NO	standardized_EAF=effect_allele_frequency	Frozen lead diagnostic could not independently evaluate this coordinate-keyed release; no contradictory evidence identified.
sys_sle_bentham2015	Systemic lupus erythematosus	Bentham et al. 2015	data/raw/systemic/sys_sle_bentham2015__bentham_2015_26502338_sle_efo0002690_1_gwas.sumstats.tsv.gz.complete	NA	NA	effect_allele	other_allele	NA	NA	UNKNOWN	Original release contains no allele-frequency field	SOURCE_HEADER	HIGH	NO	NOT_APPLICABLE; reference frequency may be used only with explicit REF/ALT allele identity	NO_SOURCE_FREQUENCY_FIELD; UNKNOWN does not itself block because no source frequency is used.
sys_ibd_delange2017	Inflammatory bowel disease	de Lange et al. 2017	data/raw/systemic/sys_ibd_delange2017__ibd_build37_59957_20161107.txt.gz.complete	NA	NA	Allele1	Allele2	NA	NA	UNKNOWN	Original release contains no allele-frequency field	SOURCE_HEADER	HIGH	NO	NOT_APPLICABLE; reference frequency may be used only with explicit REF/ALT allele identity	NO_SOURCE_FREQUENCY_FIELD; UNKNOWN does not itself block because no source frequency is used.
