disease	trait_id	study	ancestry	N	cases	controls	build	UKB_fraction	sample_overlap_risk	h2	h2_se	h2_z	n_iv	mean_f	minimum_f	primary	sensitivity	exclude	reason
Coronary artery disease	sys_cad_nikpay2015	1000 Genomes-based CAD meta-analysis	Primarily European; trans-ethnic overall	184305 overall; 141217 European	60801 overall; 42096 European	123504 overall; 99121 European	GRCh37	0	LOW	0.0463	0.0041	11.2927	41	60.6076	29.8816	TRUE	FALSE	FALSE	Non-UKB European full summary statistics selected to minimise overlap; LDSC SNP-h2=0.0463 (SE 0.0041, Z=11.29).
Any ischemic stroke	sys_stroke_megastroke2018	MEGASTROKE European AIS	European	440328	34217	406111	GRCh37	0	LOW	0.0083	0.0011	7.5455	10	39.9857	30.3936	TRUE	FALSE	FALSE	Non-UKB European full summary statistics selected to minimise overlap; LDSC SNP-h2=0.0083 (SE 0.0011, Z=7.55).
Heart failure	sys_hf_shah2020_noukb	HERMES heart failure meta-analysis excluding UK Biobank	European	583167	40805	542362	GRCh37	0	LOW	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN_FULL_GWAS_CLUMP	NOT_RUN	NOT_RUN	FALSE	FALSE	TRUE	DEFERRED_DATA_UNAVAILABLE: explicit no-UKB endpoint returned no usable full summary-statistics file; do not substitute the UKB-containing release.
Type 2 diabetes	sys_t2d_scott2017	Expanded T2D GWAS with 1000 Genomes imputation	European	159208	26676	132532	GRCh37	0	LOW	0.0551	0.0046	11.9783	40	61.2734	29.1600	TRUE	FALSE	FALSE	Non-UKB European full summary statistics selected to minimise overlap; LDSC SNP-h2=0.0551 (SE 0.0046, Z=11.98).
Chronic kidney disease	sys_ckd_wuttke2019	CKDGen 2019 CKD European ancestry	European	480698	41395	439303	GRCh37	0	LOW	0.0096	0.0015	6.4000	23	60.7572	29.5664	TRUE	FALSE	FALSE	Non-UKB European full summary statistics selected to minimise overlap; LDSC SNP-h2=0.0096 (SE 0.0015, Z=6.40).
Alzheimer disease	sys_ad_kunkle2019	IGAP stage 1 clinically diagnosed AD	European	63926	21982	41944	GRCh37	0	LOW	0.0553	0.0099	5.5859	19	194.9902	30.4647	TRUE	FALSE	FALSE	Non-UKB European full summary statistics selected to minimise overlap; LDSC SNP-h2=0.0553 (SE 0.0099, Z=5.59).
Parkinson disease	sys_pd_nalls2019_clinical	IPDGC Parkinson disease clinical case-control meta-analysis	European	27693	15056	12637	GRCh37	0	LOW	0.1640	0.0180	9.1111	15	50.4704	30.0529	TRUE	FALSE	FALSE	Non-UKB European full summary statistics selected to minimise overlap; LDSC SNP-h2=0.1640 (SE 0.0180, Z=9.11).
Systemic lupus erythematosus	sys_sle_bentham2015	SLE European discovery GWAS	European	14267	5201	9066	GRCh37	0	LOW	0.3707	0.0653	5.6769	43	96.6195	29.9605	TRUE	FALSE	FALSE	Non-UKB European full summary statistics selected to minimise overlap; LDSC SNP-h2=0.3707 (SE 0.0653, Z=5.68; signed-statistic median warning retained in log).
Inflammatory bowel disease	sys_ibd_delange2017	European IBD meta-analysis	European	59957	25042	34915	GRCh37	0	LOW	0.2137	0.0228	9.3728	117	70.3141	29.8615	TRUE	FALSE	FALSE	Non-UKB European full summary statistics selected to minimise overlap; LDSC SNP-h2=0.2137 (SE 0.0228, Z=9.37).
Rheumatoid arthritis	sys_ra_okada2014_eur	Okada 2014 European ancestry stage 1	European	58284	14361	43923	GRCh37	0	LOW	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN_FULL_GWAS_CLUMP	NOT_RUN	NOT_RUN	FALSE	TRUE	FALSE	CONDITIONAL_SECONDARY: European-only summary statistics are not directly exposed; retain only as a pre-defined secondary analysis if a compliant file is obtained.
Heart failure (full HERMES including UKB)	sys_hf_shah2020_full_ukb	HERMES full meta-analysis	European	977323	47309	930014	GRCh37	unknown but material	HIGH	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN_FULL_GWAS_CLUMP	NOT_RUN	NOT_RUN	FALSE	TRUE	FALSE	Contains UK Biobank; allowed only for shared-architecture or explicitly overlap-aware sensitivity analyses.
Parkinson disease including proxy cases	sys_pd_nalls2019_proxy_ukb	IPDGC PD clinical plus UKB proxy meta-analysis	European	482730	33674 including proxies	449056	GRCh37	~0.94 of controls plus 18618 proxies	HIGH	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN_FULL_GWAS_CLUMP	NOT_RUN	NOT_RUN	FALSE	TRUE	FALSE	Contains UK Biobank; allowed only for shared-architecture or explicitly overlap-aware sensitivity analyses.
