metric	value	status	evidence
trait_id	sys_t2d_scott2017	PASS	full local input scan
path	data/raw/systemic/sys_t2d_scott2017__METAANALYSIS_DIAGRAM_SE1.txt.complete	PASS	full local input scan
rows	12056346	PASS	full local input scan
malformed_rows	0	PASS	full local input scan
missing_essential	0	PASS	full local input scan
missing_coordinates	0	PASS	full local input scan
duplicate_variants	0	PASS	full local input scan
duplicate_method	exact rsID, falling back to chromosome:position:alleles	PASS	full local input scan
indels_or_complex	0	PASS	full local input scan
multiallelic_encoded	0	PASS	full local input scan
palindromic_snps	1835114	PASS	full local input scan
chromosome_x	260831	PASS	full local input scan
gws_hits_before_clumping	1792	PASS	full local input scan
column_map	"{""beta"": 3, ""chr"": 0, ""ea"": 1, ""eaf"": null, ""info"": null, ""n"": null, ""oa"": 2, ""or"": null, ""p"": 5, ""pos"": 0, ""rsid"": null, ""se"": 4}"	PASS	full local input scan
full_file_qc	COMPLETE	PASS	full local input scan
qc_verdict	PASS_WITH_SCHEMA	PASS	full local input scan
