retinal_trait	retinal_domain	systemic_disease	rg	se	z	p	q_global	q_within_retinal_domain	n_snps	valid_alleles	retinal_h2	retinal_h2_se	retinal_h2_z	disease_h2	disease_h2_se	disease_h2_z	ldsc_intercept	gencov_intercept_se	retinal_mean_chi2	retinal_ratio	retinal_ldsc_intercept	retinal_ldsc_intercept_se	disease_mean_chi2	disease_ratio	disease_ldsc_intercept	disease_ldsc_intercept_se	qc_flag	old_q_global	new_q_98	old_status	leave_CAD_out_status	old_q_112
ret_rnfl_left	neuroretina	sys_stroke_megastroke2018	-0.0837	0.071	-1.1784	0.2386	0.6848390243902439	0.8099047619047619	919545	919171	0.1174	0.0164	7.158536585365853	0.0083	0.0011	7.545454545454545	-0.0049	0.0047	1.1667	0.168	1.028	0.0075	1.1404	0.3338	1.0469	0.0068	PASS	0.6848390243902439	0.6640162162162161	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.6848390243902439
ret_rnfl_left	neuroretina	sys_t2d_scott2017	-0.0595	0.0553	-1.0765	0.2817	0.70112	0.8099047619047619	919545	919277	0.1174	0.0164	7.158536585365853	0.0551	0.0046	11.97826086956522	-0.0089	0.005	1.1667	0.168	1.028	0.0075	1.2309	0.133	1.0307	0.0087	PASS	0.70112	0.6733317073170731	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.70112
ret_rnfl_left	neuroretina	sys_ckd_wuttke2019	-0.0976	0.0737	-1.3245	0.1853	0.6848390243902439	0.8099047619047619	919545	916999	0.1174	0.0164	7.158536585365853	0.0096	0.0015	6.3999999999999995	0.0054	0.0047	1.1667	0.168	1.028	0.0075	1.1963	0.4639	1.0911	0.0077	PASS	0.6848390243902439	0.6640162162162161	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.6848390243902439
ret_rnfl_left	neuroretina	sys_ad_kunkle2019	-0.0237	0.0957	-0.2479	0.8042	0.9382333333333334	0.9778	919545	919271	0.1174	0.0164	7.158536585365853	0.0553	0.0099	5.585858585858586	-0.0009	0.0051	1.1667	0.168	1.028	0.0075	1.1182	0.3241	1.0383	0.0076	PASS	0.9382333333333334	0.9551057471264368	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.9382333333333334
ret_rnfl_left	neuroretina	sys_pd_nalls2019_clinical	-0.0726	0.0673	-1.0785	0.2808	0.70112	0.8099047619047619	919545	918812	0.1174	0.0164	7.158536585365853	0.164	0.018	9.111111111111112	0.0085	0.0046	1.1667	0.168	1.028	0.0075	1.0897	NA	0.988	0.0059	RATIO_NEGATIVE	0.70112	0.6733317073170731	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.70112
ret_rnfl_left	neuroretina	sys_sle_bentham2015	0.024	0.0749	0.32	0.749	0.9020215053763442	0.9778	919545	819645	0.1174	0.0164	7.158536585365853	0.3707	0.0653	5.67687595712098	0.0004	0.0058	1.1667	0.168	1.028	0.0075	1.3539	0.6219	1.2201	0.0089	PASS	0.9020215053763442	0.917525	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.9020215053763442
ret_rnfl_left	neuroretina	sys_ibd_delange2017	0.0239	0.0457	0.5227	0.6012	0.8131469879518073	0.8384	919545	892923	0.1174	0.0164	7.158536585365853	0.2137	0.0228	9.37280701754386	0.0034	0.0051	1.1667	0.168	1.028	0.0075	1.4985	0.3731	1.186	0.0105	PASS	0.8131469879518073	0.8416799999999999	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.8131469879518073
ret_gcipl_left	neuroretina	sys_stroke_megastroke2018	0.1615	0.0654	2.471	0.0135	0.216	0.216	919544	919170	0.1722	0.018	9.566666666666666	0.0083	0.0011	7.545454545454545	-0.0129	0.005	1.2614	0.2221	1.0581	0.0088	1.1404	0.3338	1.0469	0.0068	PASS	0.216	0.2205	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.216
ret_gcipl_left	neuroretina	sys_t2d_scott2017	0.0015	0.0476	0.0312	0.9751	0.9872144144144144	0.9778	919544	919276	0.1722	0.018	9.566666666666666	0.0551	0.0046	11.97826086956522	0.0002	0.0053	1.2614	0.2221	1.0581	0.0088	1.2309	0.133	1.0307	0.0087	PASS	0.9872144144144144	0.9884	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.9872144144144144
ret_gcipl_left	neuroretina	sys_ckd_wuttke2019	-0.0643	0.0669	-0.9608	0.3367	0.7394196078431372	0.8099047619047619	919544	916999	0.1722	0.018	9.566666666666666	0.0096	0.0015	6.3999999999999995	-0.0032	0.0054	1.2614	0.2221	1.0581	0.0088	1.1963	0.4639	1.0911	0.0077	PASS	0.7394196078431372	0.7332577777777778	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.7394196078431372
ret_gcipl_left	neuroretina	sys_ad_kunkle2019	-0.0024	0.0784	-0.0312	0.9751	0.9872144144144144	0.9778	919544	919270	0.1722	0.018	9.566666666666666	0.0553	0.0099	5.585858585858586	0.0072	0.0048	1.2614	0.2221	1.0581	0.0088	1.1182	0.3241	1.0383	0.0076	PASS	0.9872144144144144	0.9884	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.9872144144144144
ret_gcipl_left	neuroretina	sys_pd_nalls2019_clinical	-0.0966	0.0614	-1.5719	0.116	0.5646666666666667	0.8099047619047619	919544	918811	0.1722	0.018	9.566666666666666	0.164	0.018	9.111111111111112	0.0123	0.0054	1.2614	0.2221	1.0581	0.0088	1.0897	NA	0.988	0.0059	RATIO_NEGATIVE	0.5646666666666667	0.5155652173913043	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.5646666666666667
ret_gcipl_left	neuroretina	sys_sle_bentham2015	0.0143	0.0697	0.2053	0.8373	0.9402455445544554	0.9778	919544	819644	0.1722	0.018	9.566666666666666	0.3707	0.0653	5.67687595712098	0.0029	0.0058	1.2614	0.2221	1.0581	0.0088	1.3539	0.6219	1.2201	0.0089	PASS	0.9402455445544554	0.9551057471264368	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.9402455445544554
ret_gcipl_left	neuroretina	sys_ibd_delange2017	-0.033	0.0471	-0.7018	0.4828	0.7876842105263158	0.8099047619047619	919544	892923	0.1722	0.018	9.566666666666666	0.2137	0.0228	9.37280701754386	-0.0012	0.0059	1.2614	0.2221	1.0581	0.0088	1.4985	0.3731	1.186	0.0105	PASS	0.7876842105263158	0.8047878787878789	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.7876842105263158
